review_id,matching_id,reviewer_id,reviewer_type,rating,comment,created_at
91,347,58,guardian,3,무난했습니다.,2025-10-20
92,352,59,guardian,2,소통이 어려웠습니다.,2025-12-06
93,353,59,guardian,4,성실하게 케어해 주셨습니다.,2026-01-02
94,356,60,guardian,2,소통이 어려웠습니다.,2025-03-25
95,359,60,guardian,3,무난했습니다.,2026-01-22
96,362,60,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-22
97,374,62,guardian,4,성실하게 케어해 주셨습니다.,2025-07-21
98,377,63,guardian,1,불만족스러웠습니다.,2025-10-31
99,379,63,guardian,1,다른 간병인을 추천받고 싶습니다.,2026-01-26
100,382,64,guardian,3,보통이었습니다.,2025-05-14
101,383,64,guardian,3,개선이 필요한 부분이 있습니다.,2025-07-12
102,384,64,guardian,2,기대에 미치지 못했습니다.,2025-06-04
103,385,64,guardian,3,보통이었습니다.,2025-09-19
104,386,64,guardian,2,아쉬운 점이 있었습니다.,2025-04-18
105,389,65,guardian,3,무난했습니다.,2025-09-01
106,390,65,guardian,2,기대에 미치지 못했습니다.,2025-08-25
107,394,66,guardian,2,기대에 미치지 못했습니다.,2025-04-01
108,397,66,guardian,3,개선이 필요한 부분이 있습니다.,2025-09-13
109,399,67,guardian,1,개선이 많이 필요합니다.,2025-09-21
110,400,67,guardian,2,기대에 미치지 못했습니다.,2025-08-21
111,404,68,guardian,2,아쉬운 점이 있었습니다.,2025-06-04
112,406,68,guardian,2,기대에 미치지 못했습니다.,2025-11-30
113,415,70,guardian,3,보통이었습니다.,2025-02-20
114,419,70,guardian,3,개선이 필요한 부분이 있습니다.,2025-11-05
115,420,70,guardian,2,소통이 어려웠습니다.,2025-02-26
116,421,71,guardian,3,보통이었습니다.,2025-12-03
117,422,71,guardian,3,무난했습니다.,2025-08-30
118,428,72,guardian,3,개선이 필요한 부분이 있습니다.,2025-06-13
119,432,72,guardian,2,소통이 어려웠습니다.,2025-10-14
120,436,73,guardian,3,개선이 필요한 부분이 있습니다.,2025-11-18
121,438,73,guardian,2,아쉬운 점이 있었습니다.,2025-12-09
122,439,73,guardian,2,아쉬운 점이 있었습니다.,2025-09-21
123,445,74,guardian,2,소통이 어려웠습니다.,2025-05-09
124,448,74,guardian,2,기대에 미치지 못했습니다.,2025-07-05
125,451,75,guardian,2,소통이 어려웠습니다.,2025-08-09
126,462,77,guardian,3,무난했습니다.,2025-06-19
127,463,77,guardian,2,아쉬운 점이 있었습니다.,2025-04-23
128,468,78,guardian,3,개선이 필요한 부분이 있습니다.,2025-07-29
129,474,79,guardian,3,보통이었습니다.,2025-07-11
130,475,79,guardian,4,성실하게 케어해 주셨습니다.,2025-08-20
131,481,80,guardian,3,보통이었습니다.,2026-01-24
132,490,82,guardian,3,무난했습니다.,2025-09-03
133,504,84,guardian,2,기대에 미치지 못했습니다.,2025-11-14
134,508,85,guardian,1,불만족스러웠습니다.,2025-07-02
135,510,85,guardian,2,아쉬운 점이 있었습니다.,2025-10-24
136,514,86,guardian,2,기대에 미치지 못했습니다.,2025-10-15
137,518,87,guardian,2,아쉬운 점이 있었습니다.,2025-04-17
138,524,88,guardian,3,개선이 필요한 부분이 있습니다.,2026-01-09
139,525,88,guardian,3,개선이 필요한 부분이 있습니다.,2026-01-11
140,530,89,guardian,2,소통이 어려웠습니다.,2025-06-23
141,531,89,guardian,2,소통이 어려웠습니다.,2026-01-13
142,534,90,guardian,3,무난했습니다.,2025-10-05
143,535,90,guardian,2,아쉬운 점이 있었습니다.,2025-08-08
144,537,90,guardian,3,보통이었습니다.,2025-07-16
145,542,91,guardian,4,좋은 서비스였습니다.,2025-05-08
146,545,91,guardian,3,무난했습니다.,2025-08-18
147,548,91,guardian,2,기대에 미치지 못했습니다.,2025-11-20
148,550,92,guardian,3,개선이 필요한 부분이 있습니다.,2025-04-11
149,552,92,guardian,2,기대에 미치지 못했습니다.,2025-08-29
150,555,92,guardian,3,무난했습니다.,2025-10-06
151,559,93,guardian,2,아쉬운 점이 있었습니다.,2025-11-23
152,561,93,guardian,3,개선이 필요한 부분이 있습니다.,2025-03-08
153,569,94,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-14
154,572,95,guardian,3,보통이었습니다.,2025-02-15
155,575,95,guardian,2,기대에 미치지 못했습니다.,2025-08-13
156,576,95,guardian,3,개선이 필요한 부분이 있습니다.,2025-10-18
157,578,96,guardian,3,개선이 필요한 부분이 있습니다.,2025-06-29
158,595,98,guardian,3,무난했습니다.,2025-07-18
159,612,101,guardian,2,소통이 어려웠습니다.,2025-04-22
160,613,101,guardian,3,무난했습니다.,2025-12-04
161,615,102,guardian,2,소통이 어려웠습니다.,2025-06-20
162,619,102,guardian,2,소통이 어려웠습니다.,2026-03-22
163,620,102,guardian,2,아쉬운 점이 있었습니다.,2025-12-06
164,628,103,guardian,2,아쉬운 점이 있었습니다.,2025-05-15
165,631,104,guardian,3,개선이 필요한 부분이 있습니다.,2025-11-26
166,632,104,guardian,1,불만족스러웠습니다.,2025-08-20
167,646,107,guardian,3,개선이 필요한 부분이 있습니다.,2025-06-12
168,648,107,guardian,4,좋은 서비스였습니다.,2025-11-13
169,649,107,guardian,2,기대에 미치지 못했습니다.,2025-11-23
170,654,108,guardian,3,무난했습니다.,2025-09-16
171,672,111,guardian,2,기대에 미치지 못했습니다.,2025-12-19
172,680,113,guardian,4,전반적으로 만족합니다.,2025-07-24
173,681,113,guardian,3,무난했습니다.,2025-04-06
174,684,114,guardian,3,보통이었습니다.,2025-06-11
175,689,114,guardian,2,기대에 미치지 못했습니다.,2025-10-25
176,708,117,guardian,2,아쉬운 점이 있었습니다.,2025-07-12
177,711,117,guardian,2,소통이 어려웠습니다.,2025-03-12
178,716,118,guardian,4,전반적으로 만족합니다.,2025-03-28
179,717,118,guardian,3,개선이 필요한 부분이 있습니다.,2026-02-19
180,720,119,guardian,3,보통이었습니다.,2025-05-09
181,724,120,guardian,2,기대에 미치지 못했습니다.,2025-11-26
182,725,120,guardian,4,좋은 서비스였습니다.,2025-11-26
183,726,120,guardian,3,무난했습니다.,2025-09-15
184,728,121,guardian,2,소통이 어려웠습니다.,2025-10-11
185,732,122,guardian,2,기대에 미치지 못했습니다.,2025-07-20
186,736,122,guardian,3,개선이 필요한 부분이 있습니다.,2026-01-17
187,738,122,guardian,2,기대에 미치지 못했습니다.,2026-02-05
188,743,123,guardian,2,아쉬운 점이 있었습니다.,2025-07-12
189,746,123,guardian,2,기대에 미치지 못했습니다.,2025-07-23
190,749,124,guardian,3,무난했습니다.,2026-01-03
191,750,124,guardian,3,무난했습니다.,2025-02-26
192,752,125,guardian,3,무난했습니다.,2025-07-21
193,753,125,guardian,3,무난했습니다.,2025-10-02
194,756,125,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-11
195,757,125,guardian,3,무난했습니다.,2025-06-04
196,759,126,guardian,2,아쉬운 점이 있었습니다.,2025-10-26
197,760,126,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-01
198,764,126,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-29
199,767,127,guardian,2,기대에 미치지 못했습니다.,2025-04-18
200,768,127,guardian,1,개선이 많이 필요합니다.,2025-08-01
201,770,127,guardian,3,무난했습니다.,2025-12-27
202,772,127,guardian,1,다른 간병인을 추천받고 싶습니다.,2025-12-09
203,775,128,guardian,3,무난했습니다.,2025-08-09
204,778,129,guardian,1,불만족스러웠습니다.,2025-04-03
205,779,129,guardian,2,소통이 어려웠습니다.,2025-08-22
206,792,131,guardian,4,성실하게 케어해 주셨습니다.,2025-10-02
207,796,132,guardian,2,소통이 어려웠습니다.,2025-10-30
208,797,132,guardian,3,무난했습니다.,2025-03-29
209,801,132,guardian,2,소통이 어려웠습니다.,2025-08-01
210,806,133,guardian,2,기대에 미치지 못했습니다.,2025-09-26
211,812,134,guardian,3,무난했습니다.,2025-04-08
212,815,134,guardian,1,다른 간병인을 추천받고 싶습니다.,2025-06-05
213,821,135,guardian,2,아쉬운 점이 있었습니다.,2025-09-04
214,825,136,guardian,4,좋은 서비스였습니다.,2025-07-16
215,829,137,guardian,3,보통이었습니다.,2025-08-10
216,852,141,guardian,2,기대에 미치지 못했습니다.,2026-01-21
217,854,142,guardian,3,개선이 필요한 부분이 있습니다.,2025-07-26
218,861,143,guardian,2,아쉬운 점이 있었습니다.,2025-09-17
219,869,144,guardian,2,기대에 미치지 못했습니다.,2025-05-23
220,877,146,guardian,3,보통이었습니다.,2025-11-14
221,885,147,guardian,3,보통이었습니다.,2026-02-17
222,891,148,guardian,3,보통이었습니다.,2025-08-10
223,892,148,guardian,2,아쉬운 점이 있었습니다.,2025-04-27
224,893,149,guardian,2,기대에 미치지 못했습니다.,2025-09-04
225,895,149,guardian,3,보통이었습니다.,2025-10-07
226,898,150,guardian,2,소통이 어려웠습니다.,2025-07-21
227,906,151,guardian,3,개선이 필요한 부분이 있습니다.,2026-01-23
228,907,152,guardian,2,아쉬운 점이 있었습니다.,2025-07-29
229,911,153,guardian,4,좋은 서비스였습니다.,2025-01-31
230,919,154,guardian,4,전반적으로 만족합니다.,2026-01-17
231,921,154,guardian,4,성실하게 케어해 주셨습니다.,2025-08-02
232,923,155,guardian,2,기대에 미치지 못했습니다.,2025-09-17
233,924,155,guardian,1,불만족스러웠습니다.,2025-08-12
234,929,156,guardian,3,개선이 필요한 부분이 있습니다.,2025-05-10
235,932,156,guardian,1,개선이 많이 필요합니다.,2026-03-24
236,943,157,guardian,3,개선이 필요한 부분이 있습니다.,2025-11-05
237,944,158,guardian,3,무난했습니다.,2025-09-11
238,948,159,guardian,2,아쉬운 점이 있었습니다.,2025-03-03
239,949,159,guardian,2,아쉬운 점이 있었습니다.,2025-12-26
240,952,159,guardian,2,소통이 어려웠습니다.,2025-11-03
241,960,161,guardian,3,개선이 필요한 부분이 있습니다.,2025-02-08
242,967,162,guardian,4,좋은 서비스였습니다.,2025-05-30
243,973,163,guardian,2,기대에 미치지 못했습니다.,2025-08-15
244,982,164,guardian,2,소통이 어려웠습니다.,2025-12-11
245,985,165,guardian,3,무난했습니다.,2025-02-12
246,990,165,guardian,1,개선이 많이 필요합니다.,2025-09-27
247,991,165,guardian,3,보통이었습니다.,2025-04-05
248,992,166,guardian,3,무난했습니다.,2025-03-13
249,1003,168,guardian,2,소통이 어려웠습니다.,2026-02-01
250,1004,168,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-22
251,1005,168,guardian,3,개선이 필요한 부분이 있습니다.,2025-06-30
252,1006,169,guardian,3,보통이었습니다.,2025-02-10
253,1008,169,guardian,2,아쉬운 점이 있었습니다.,2026-03-27
254,1013,170,guardian,2,기대에 미치지 못했습니다.,2025-07-24
255,1015,170,guardian,2,아쉬운 점이 있었습니다.,2025-04-13
256,1016,170,guardian,3,개선이 필요한 부분이 있습니다.,2026-01-15
257,1019,170,guardian,3,보통이었습니다.,2025-09-03
258,1023,171,guardian,3,보통이었습니다.,2026-02-28
259,1027,172,guardian,2,아쉬운 점이 있었습니다.,2025-09-18
260,1028,172,guardian,3,무난했습니다.,2025-11-16
261,1030,173,guardian,2,아쉬운 점이 있었습니다.,2025-03-20
262,1036,174,guardian,3,무난했습니다.,2025-03-01
263,1038,174,guardian,3,보통이었습니다.,2025-04-26
264,1042,175,guardian,2,아쉬운 점이 있었습니다.,2025-04-28
265,1044,175,guardian,3,개선이 필요한 부분이 있습니다.,2026-03-20
266,1045,176,guardian,2,기대에 미치지 못했습니다.,2026-01-24
267,1049,176,guardian,2,아쉬운 점이 있었습니다.,2025-06-18
268,1051,176,guardian,2,아쉬운 점이 있었습니다.,2025-12-27
269,1054,177,guardian,3,무난했습니다.,2025-11-17
270,1057,177,guardian,2,아쉬운 점이 있었습니다.,2025-11-30
271,1061,178,guardian,3,개선이 필요한 부분이 있습니다.,2025-11-08
272,1063,179,guardian,2,아쉬운 점이 있었습니다.,2025-07-09
273,1066,179,guardian,2,기대에 미치지 못했습니다.,2026-02-09
274,1080,181,guardian,3,보통이었습니다.,2025-04-24
275,1081,182,guardian,1,개선이 많이 필요합니다.,2026-01-29
276,1084,182,guardian,2,아쉬운 점이 있었습니다.,2026-01-01
277,1087,183,guardian,4,좋은 서비스였습니다.,2025-07-07
278,1092,184,guardian,3,보통이었습니다.,2025-10-16
279,1099,185,guardian,2,기대에 미치지 못했습니다.,2025-10-05
280,1103,185,guardian,3,무난했습니다.,2026-02-15
281,1108,186,guardian,3,보통이었습니다.,2025-08-30
282,1111,186,guardian,2,소통이 어려웠습니다.,2025-08-14
283,1118,188,guardian,2,소통이 어려웠습니다.,2025-06-03
284,1121,188,guardian,2,소통이 어려웠습니다.,2025-11-02
285,1123,189,guardian,1,불만족스러웠습니다.,2025-12-10
286,1124,189,guardian,2,아쉬운 점이 있었습니다.,2025-08-17
287,1131,190,guardian,2,아쉬운 점이 있었습니다.,2025-05-04
288,1135,191,guardian,3,보통이었습니다.,2026-02-03
289,1137,191,guardian,2,아쉬운 점이 있었습니다.,2025-12-16
290,1141,192,guardian,1,다른 간병인을 추천받고 싶습니다.,2025-04-10
291,1144,192,guardian,3,보통이었습니다.,2025-05-15
292,1146,192,guardian,3,보통이었습니다.,2025-05-10
293,1147,192,guardian,2,기대에 미치지 못했습니다.,2025-09-23
294,1149,193,guardian,2,기대에 미치지 못했습니다.,2025-07-14
295,1150,193,guardian,2,아쉬운 점이 있었습니다.,2025-09-28
296,1151,193,guardian,1,개선이 많이 필요합니다.,2025-10-24
297,1152,193,guardian,2,아쉬운 점이 있었습니다.,2025-06-17
298,1156,194,guardian,3,보통이었습니다.,2025-11-18
299,1158,194,guardian,3,보통이었습니다.,2025-12-05
300,1159,194,guardian,2,기대에 미치지 못했습니다.,2025-06-04
301,1161,195,guardian,2,아쉬운 점이 있었습니다.,2025-03-25
302,1164,195,guardian,2,아쉬운 점이 있었습니다.,2025-11-23
303,1166,195,guardian,3,개선이 필요한 부분이 있습니다.,2026-01-10
304,1167,195,guardian,2,소통이 어려웠습니다.,2025-06-15
305,1173,196,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-06
306,1177,197,guardian,2,기대에 미치지 못했습니다.,2025-08-03
307,1179,197,guardian,2,기대에 미치지 못했습니다.,2025-12-16
308,1180,197,guardian,4,성실하게 케어해 주셨습니다.,2025-08-01
309,1183,198,guardian,3,무난했습니다.,2025-12-15
310,1190,198,guardian,2,아쉬운 점이 있었습니다.,2025-11-06
311,1194,199,guardian,3,개선이 필요한 부분이 있습니다.,2025-07-09
312,1196,199,guardian,3,무난했습니다.,2026-01-25
313,1199,200,guardian,2,소통이 어려웠습니다.,2025-09-29
314,1201,200,guardian,2,아쉬운 점이 있었습니다.,2025-03-01
315,1206,201,guardian,3,개선이 필요한 부분이 있습니다.,2025-03-14
316,1214,202,guardian,3,보통이었습니다.,2025-04-05
317,1215,202,guardian,2,소통이 어려웠습니다.,2025-05-06
318,1218,203,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-06
319,1224,204,guardian,3,개선이 필요한 부분이 있습니다.,2025-12-27
320,1226,204,guardian,3,개선이 필요한 부분이 있습니다.,2026-02-22
321,1231,205,guardian,2,소통이 어려웠습니다.,2026-01-31
322,1237,206,guardian,1,개선이 많이 필요합니다.,2025-08-29
323,1241,206,guardian,3,무난했습니다.,2025-06-14
324,1242,207,guardian,2,아쉬운 점이 있었습니다.,2025-09-13
325,1243,207,guardian,2,아쉬운 점이 있었습니다.,2025-04-15
326,1244,207,guardian,3,개선이 필요한 부분이 있습니다.,2025-05-28
327,1245,207,guardian,2,기대에 미치지 못했습니다.,2025-03-30
328,1246,207,guardian,3,무난했습니다.,2025-09-30
329,1251,208,guardian,2,아쉬운 점이 있었습니다.,2025-05-01
330,1255,208,guardian,3,보통이었습니다.,2025-10-25
331,1262,210,guardian,2,기대에 미치지 못했습니다.,2025-12-04
332,1271,211,guardian,3,무난했습니다.,2025-07-21
333,1272,211,guardian,3,무난했습니다.,2025-12-10
334,1273,211,guardian,3,무난했습니다.,2025-10-06
335,1282,213,guardian,3,보통이었습니다.,2025-08-03
336,1286,214,guardian,4,좋은 서비스였습니다.,2026-01-27
337,1294,215,guardian,2,기대에 미치지 못했습니다.,2026-02-10
338,1295,215,guardian,3,무난했습니다.,2025-10-02
339,1300,216,guardian,3,무난했습니다.,2025-04-12
340,1302,217,guardian,3,보통이었습니다.,2025-12-27
341,1305,217,guardian,2,소통이 어려웠습니다.,2025-02-28
342,1306,217,guardian,2,기대에 미치지 못했습니다.,2026-01-10
343,1307,218,guardian,3,개선이 필요한 부분이 있습니다.,2025-01-23
344,1308,218,guardian,2,기대에 미치지 못했습니다.,2025-07-26
345,1310,218,guardian,3,무난했습니다.,2025-05-14
346,1312,219,guardian,3,보통이었습니다.,2025-07-14
347,1314,219,guardian,2,기대에 미치지 못했습니다.,2025-09-11
348,1318,220,guardian,2,소통이 어려웠습니다.,2025-07-31
349,1323,221,guardian,3,보통이었습니다.,2026-02-12
350,1328,222,guardian,2,기대에 미치지 못했습니다.,2025-12-06
351,1329,222,guardian,3,무난했습니다.,2025-06-25
352,1332,222,guardian,2,기대에 미치지 못했습니다.,2025-04-14
353,1336,223,guardian,4,좋은 서비스였습니다.,2025-09-14
354,1343,224,guardian,2,기대에 미치지 못했습니다.,2026-02-23
355,1344,224,guardian,2,아쉬운 점이 있었습니다.,2025-10-27
356,1345,224,guardian,2,아쉬운 점이 있었습니다.,2025-11-03
357,1351,225,guardian,2,소통이 어려웠습니다.,2026-03-14
358,1354,226,guardian,1,불만족스러웠습니다.,2025-10-17
359,1356,226,guardian,3,개선이 필요한 부분이 있습니다.,2026-01-03
360,1363,228,guardian,2,아쉬운 점이 있었습니다.,2025-06-25
361,1365,228,guardian,3,개선이 필요한 부분이 있습니다.,2025-09-04
362,1367,228,guardian,2,아쉬운 점이 있었습니다.,2025-09-10
363,1373,230,guardian,3,보통이었습니다.,2025-04-25
364,1376,230,guardian,2,아쉬운 점이 있었습니다.,2026-04-02
365,1385,231,guardian,3,무난했습니다.,2025-07-25
366,1387,231,guardian,3,보통이었습니다.,2025-04-19
367,1396,233,guardian,3,개선이 필요한 부분이 있습니다.,2025-10-23
368,1400,233,guardian,3,개선이 필요한 부분이 있습니다.,2025-10-12
369,1404,234,guardian,4,성실하게 케어해 주셨습니다.,2025-03-11
370,1407,234,guardian,3,무난했습니다.,2025-09-06
371,1408,235,guardian,3,보통이었습니다.,2025-12-10
372,1410,235,guardian,2,아쉬운 점이 있었습니다.,2025-08-29
373,1420,236,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-23
374,1430,239,guardian,3,무난했습니다.,2026-03-10
375,1432,239,guardian,3,무난했습니다.,2025-08-21
376,1438,240,guardian,3,보통이었습니다.,2026-02-04
377,1445,241,guardian,3,무난했습니다.,2025-08-18
378,1448,241,guardian,3,무난했습니다.,2026-01-19
379,1453,242,guardian,2,기대에 미치지 못했습니다.,2025-08-21
380,1460,243,guardian,3,무난했습니다.,2025-04-30
381,1464,244,guardian,3,무난했습니다.,2026-02-10
382,1469,244,guardian,2,소통이 어려웠습니다.,2025-11-18
383,1470,245,guardian,3,개선이 필요한 부분이 있습니다.,2026-03-18
384,1472,245,guardian,3,무난했습니다.,2025-06-25
385,1473,245,guardian,2,아쉬운 점이 있었습니다.,2025-08-30
386,1477,246,guardian,3,보통이었습니다.,2025-05-26
387,1478,246,guardian,3,개선이 필요한 부분이 있습니다.,2026-04-05
388,1479,246,guardian,2,아쉬운 점이 있었습니다.,2025-11-27
389,1481,247,guardian,1,다른 간병인을 추천받고 싶습니다.,2025-12-08
390,1496,249,guardian,3,무난했습니다.,2025-01-07
391,1500,249,guardian,3,무난했습니다.,2026-01-10
392,1510,251,guardian,3,무난했습니다.,2026-01-24
393,1511,251,guardian,3,보통이었습니다.,2025-07-13
394,1512,251,guardian,3,개선이 필요한 부분이 있습니다.,2025-04-29
395,1517,252,guardian,3,보통이었습니다.,2025-06-26
396,1518,252,guardian,3,개선이 필요한 부분이 있습니다.,2025-10-31
397,1520,253,guardian,3,개선이 필요한 부분이 있습니다.,2025-06-23
398,1529,254,guardian,1,다른 간병인을 추천받고 싶습니다.,2026-01-04
399,1533,255,guardian,1,다른 간병인을 추천받고 싶습니다.,2025-06-30
400,1541,256,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-27
401,1547,257,guardian,3,개선이 필요한 부분이 있습니다.,2025-12-08
402,1553,258,guardian,2,기대에 미치지 못했습니다.,2025-06-12
403,1554,258,guardian,3,개선이 필요한 부분이 있습니다.,2025-07-29
404,1559,259,guardian,2,소통이 어려웠습니다.,2025-05-22
405,1560,259,guardian,3,개선이 필요한 부분이 있습니다.,2026-01-24
406,1563,260,guardian,2,소통이 어려웠습니다.,2025-12-19
407,1565,260,guardian,2,기대에 미치지 못했습니다.,2025-03-20
408,1573,261,guardian,3,보통이었습니다.,2025-07-17
409,1574,262,guardian,1,다른 간병인을 추천받고 싶습니다.,2025-08-20
410,1587,263,guardian,3,보통이었습니다.,2025-10-03
411,1590,264,guardian,3,개선이 필요한 부분이 있습니다.,2025-02-07
412,1595,265,guardian,4,좋은 서비스였습니다.,2025-05-31
413,1600,265,guardian,3,개선이 필요한 부분이 있습니다.,2025-06-10
414,1608,267,guardian,2,아쉬운 점이 있었습니다.,2025-04-13
415,1611,267,guardian,2,기대에 미치지 못했습니다.,2025-11-29
416,1618,269,guardian,2,소통이 어려웠습니다.,2025-05-21
417,1620,269,guardian,2,아쉬운 점이 있었습니다.,2025-08-06
418,1631,270,guardian,3,보통이었습니다.,2025-10-17
419,1634,271,guardian,2,소통이 어려웠습니다.,2025-02-04
420,1635,271,guardian,2,소통이 어려웠습니다.,2025-04-16
421,1642,272,guardian,2,소통이 어려웠습니다.,2025-08-16
422,1646,273,guardian,2,아쉬운 점이 있었습니다.,2025-05-22
