caregiver_id,empathy_score,activity_score,patience_score,independence_score
158,70.8,79.7,56.7,85.6
159,67.6,52.3,55.3,21.9
160,82.3,61.3,55.9,29.1
161,65.0,90.0,66.7,24.9
162,66.3,55.1,34.2,53.9
163,66.5,72.5,96.0,77.5
164,66.0,40.1,100.0,56.2
165,70.2,59.6,76.2,52.1
166,61.4,50.2,75.8,44.1
167,59.3,61.9,68.3,85.1
168,30.2,79.6,84.8,20.0
169,64.9,53.3,55.3,39.4
170,53.3,91.5,83.4,80.4
171,80.8,39.7,60.3,64.8
172,51.7,72.8,64.5,47.5
173,80.7,68.0,71.1,78.2
174,53.8,71.1,73.7,48.8
175,74.9,37.5,80.1,51.3
176,62.2,78.9,66.1,26.8
177,46.7,70.9,56.8,90.1
178,38.8,90.5,74.7,53.1
179,61.8,67.2,68.5,77.1
180,71.7,62.7,63.0,53.9
181,74.6,29.2,54.4,69.9
182,72.6,56.7,74.8,62.0
183,61.9,46.0,70.6,35.4
184,76.1,29.4,89.3,64.5
185,73.8,77.7,97.0,75.3
186,42.4,37.0,63.9,55.5
187,77.8,46.9,76.0,39.9
188,60.8,34.7,58.7,28.0
189,55.4,79.0,60.8,100.0
190,77.4,63.3,61.9,69.0
191,61.4,62.2,100.0,53.1
192,87.2,47.3,74.2,90.4
193,60.6,92.6,84.7,43.8
194,79.5,77.5,74.1,23.6
195,59.1,55.5,68.1,67.4
196,72.7,36.0,78.4,67.2
197,78.4,79.5,80.6,64.2
198,68.9,30.1,74.2,59.2
199,74.1,37.0,56.0,76.1
200,69.4,72.3,73.3,55.6
201,84.1,50.7,71.0,45.8
202,63.5,54.4,73.3,45.4
203,88.8,43.9,70.8,46.2
204,91.7,63.5,83.8,25.3
205,74.0,76.0,74.0,76.3
206,62.2,85.4,96.6,47.7
207,63.3,86.2,92.8,44.5
208,63.7,54.9,60.1,36.6
209,54.9,46.2,69.4,59.7
210,93.3,42.0,81.6,50.7
211,69.3,72.1,62.7,62.6
212,72.5,68.9,76.5,100.0
213,60.4,50.4,64.7,43.9
214,60.4,81.4,89.2,43.6
215,57.5,68.5,66.4,67.7
216,73.0,32.7,89.2,90.9
217,60.8,53.0,74.0,61.7
218,79.9,96.2,66.1,39.0
219,49.3,46.8,67.8,90.9
220,62.2,64.0,71.2,78.8
221,100.0,50.4,65.5,75.9
222,80.2,93.2,78.4,47.8
223,78.9,80.0,85.2,65.1
224,86.0,81.0,89.6,68.0
225,67.5,62.6,88.3,38.7
226,75.5,52.9,69.3,80.6
227,72.9,60.8,51.9,69.9
228,79.7,98.9,66.1,59.4
229,73.7,88.4,69.5,60.6
230,79.1,63.4,63.6,58.9
231,86.1,41.5,76.2,41.0
232,87.9,32.6,63.1,62.5
233,93.5,58.8,61.5,92.6
234,48.3,20.4,81.5,45.0
235,54.7,72.8,79.9,43.7
236,50.8,75.7,75.2,53.0
237,97.7,40.7,56.3,41.2
238,69.3,64.4,74.1,62.0
239,51.2,86.0,70.4,77.3
240,75.1,68.2,78.2,64.0
241,79.6,83.9,70.6,69.2
242,68.7,85.9,67.3,91.0
243,69.4,34.2,74.5,41.4
244,82.6,48.3,62.8,20.0
245,63.2,20.0,53.2,70.2
246,81.8,67.7,62.2,54.0
247,69.9,39.1,93.4,72.5
248,66.7,60.5,74.7,20.0
249,66.3,47.7,61.0,49.4
250,97.0,71.5,60.5,66.5
251,91.0,76.6,68.1,42.1
252,80.5,67.1,78.1,67.7
253,85.7,50.4,92.0,59.0
254,100.0,47.6,93.0,59.0
255,60.2,51.3,68.4,63.5
256,77.8,49.7,75.1,97.8
257,95.9,67.9,73.5,57.4
258,79.2,41.6,69.1,21.6
259,76.0,71.6,64.0,86.5
260,51.6,33.6,74.9,75.9
261,95.3,51.7,85.9,54.2
262,67.4,75.9,84.0,23.5
263,92.1,84.8,60.7,62.9
264,77.4,64.7,63.2,41.6
265,69.6,81.1,81.9,47.6
266,81.6,20.0,86.8,20.2
267,64.6,39.8,58.3,78.2
268,63.0,66.2,72.4,64.5
269,71.2,36.9,86.6,45.1
270,46.7,52.3,90.2,72.0
271,64.8,53.7,70.7,96.5
272,75.7,67.7,89.4,59.8
273,66.1,56.5,67.3,54.3
274,80.9,60.9,79.4,53.4
275,71.2,24.0,88.0,61.9
276,85.0,20.0,100.0,52.2
277,86.6,41.3,79.6,33.9
278,60.6,94.5,69.1,59.3
279,83.1,68.9,71.6,62.3
280,100.0,59.0,71.4,76.0
281,86.6,81.4,82.3,32.1
282,94.5,39.4,75.8,39.9
283,69.0,65.9,75.3,63.4
284,94.2,68.2,70.1,74.3
285,87.8,37.9,84.2,69.0
286,65.5,84.8,73.6,57.5
287,67.4,60.3,62.2,26.2
288,93.9,44.8,55.5,20.0
289,60.4,36.2,89.5,75.2
290,59.7,100.0,78.4,48.5
291,32.5,100.0,50.7,22.1
292,85.3,100.0,86.4,66.3
293,78.9,75.4,82.1,60.6
294,71.6,58.9,57.6,49.4
295,44.6,58.2,62.7,32.9
296,72.7,85.1,79.2,23.6
297,55.2,76.9,65.2,50.5
298,78.3,42.6,73.5,28.3
299,61.0,65.8,57.9,63.8
300,69.7,69.9,73.3,82.3
301,71.9,52.3,78.5,65.9
302,70.7,60.7,59.0,41.7
303,49.0,91.5,57.3,41.1
304,59.2,76.1,63.9,80.0
305,59.9,65.0,58.2,97.9
306,52.2,65.6,76.6,63.3
307,67.2,57.7,74.3,52.1
308,84.5,99.8,66.3,27.6
309,68.7,100.0,62.6,87.8
310,95.2,50.0,74.2,87.6
311,64.3,56.3,61.2,34.7
312,60.3,38.0,73.4,39.6
313,73.5,32.0,75.4,71.7
314,40.1,66.7,91.7,30.8
315,95.1,67.5,62.1,53.9
316,78.4,61.4,76.3,36.6
317,72.5,34.6,73.3,36.9
318,59.0,82.2,86.9,67.2
319,53.6,54.3,85.2,57.8
320,100.0,67.1,68.9,48.8
321,72.0,57.3,82.3,74.1
322,58.2,36.0,53.4,65.2
323,53.4,21.2,80.9,100.0
324,69.9,75.1,75.6,53.0
325,83.8,54.8,74.6,61.4
326,60.0,77.9,72.5,39.9
327,78.0,43.8,66.9,54.8
328,86.3,68.5,67.9,71.4
329,90.9,70.0,73.9,28.8
330,54.0,54.5,66.5,51.3
331,70.8,69.5,68.2,64.7
332,71.0,24.4,62.5,52.1
333,51.9,70.8,92.2,79.4
334,66.8,86.8,75.6,48.3
335,60.8,54.6,64.3,58.4
336,72.4,60.1,76.6,78.8
337,84.2,33.3,41.6,73.7
338,49.5,56.0,54.2,20.0
339,78.1,73.7,62.1,20.0
340,61.8,67.1,52.1,58.7
341,69.8,70.4,78.4,35.5
342,87.9,57.1,67.9,36.3
343,63.4,44.1,68.5,89.2
344,49.4,31.0,94.7,50.8
345,60.0,78.7,60.1,91.5
346,80.2,51.2,100.0,42.9
347,81.1,65.4,83.8,86.2
348,70.5,46.4,77.7,41.4
349,100.0,62.5,67.0,58.7
350,49.8,42.5,90.6,41.9
351,54.3,69.7,89.6,69.4
352,84.9,46.4,58.3,85.0
353,65.2,55.5,92.1,66.1
354,76.8,99.0,65.3,73.6
355,70.9,64.8,95.3,65.2
356,78.1,79.3,71.8,38.2
357,54.3,24.6,100.0,32.9
358,66.7,55.0,79.1,71.3
359,82.9,49.5,71.0,60.7
360,66.3,88.9,82.1,69.7
361,79.9,81.1,75.2,29.1
362,76.0,48.3,61.1,66.7
363,88.6,60.4,78.3,89.0
364,73.6,100.0,81.4,20.0
365,81.3,66.9,88.5,68.5
366,67.9,38.0,70.5,38.0
367,61.3,70.6,96.2,62.9
368,52.1,68.0,82.6,42.8
369,68.0,60.3,62.0,68.0
370,68.2,67.6,56.0,46.3
371,80.8,53.3,92.1,47.0
372,73.4,76.8,58.4,20.0
373,47.1,82.7,60.0,100.0
374,61.5,63.3,93.1,95.1
375,100.0,81.8,86.9,66.9
376,81.7,50.1,60.0,54.9
377,67.4,51.8,79.8,74.1
378,71.3,86.6,56.9,51.1
379,59.2,26.4,72.0,52.6
380,92.7,71.4,58.3,92.1
381,88.3,70.5,64.7,35.8
382,64.4,79.6,98.0,85.9
383,62.7,39.8,77.9,20.0
384,74.8,57.3,69.0,23.1
385,77.7,50.4,54.2,20.0
386,69.6,91.9,89.7,45.9
387,61.0,68.4,64.2,61.0
388,81.5,82.1,75.8,50.9
389,56.8,45.1,73.5,62.3
390,83.7,45.5,94.1,49.6
391,69.7,46.6,39.9,72.7
392,81.1,54.9,69.0,65.3
393,46.6,50.5,80.9,29.9
394,74.4,35.6,73.8,54.3
395,45.8,81.0,57.8,38.8
396,73.0,80.7,54.4,56.2
397,76.4,72.5,70.3,47.7
398,57.6,61.6,61.7,20.0
399,76.5,76.3,45.4,34.8
400,79.3,97.0,70.8,40.4
401,67.3,84.7,67.6,39.0
402,62.8,42.8,73.7,87.5
403,74.8,55.5,68.7,23.7
404,83.2,58.6,65.2,100.0
405,74.5,46.5,70.3,78.0
406,71.7,34.1,80.0,41.6
407,98.1,79.4,66.0,80.6
408,71.0,75.3,79.6,38.1
409,60.3,78.5,69.8,46.9
410,55.7,67.6,97.0,33.6
411,70.4,85.4,68.0,64.0
412,54.1,67.7,69.2,74.7
413,87.8,100.0,80.0,61.5
414,72.9,53.6,76.3,49.1
415,72.5,83.7,54.5,77.8
416,89.8,57.9,48.3,42.8
417,89.5,59.6,61.0,44.9
418,82.6,69.8,63.7,47.7
419,64.1,43.4,88.4,48.6
420,88.3,87.4,81.0,46.4
421,76.1,59.6,62.2,61.5
422,52.3,81.4,71.4,59.0
423,74.2,55.3,73.6,45.5
424,83.1,35.8,76.9,93.8
425,55.0,47.8,80.8,58.6
426,75.3,68.8,79.8,77.2
427,76.1,55.7,84.3,93.0
428,68.0,42.5,87.9,52.6
429,37.4,75.3,70.6,53.2
430,75.0,63.4,85.5,46.3
431,77.7,55.3,75.5,67.3
432,56.0,79.5,69.0,71.2
433,75.5,93.1,71.1,48.0
434,69.7,54.5,76.2,22.7
435,54.2,40.8,85.2,89.2
436,68.4,57.0,69.0,78.2
437,56.1,64.3,79.9,65.0
438,72.8,78.0,36.6,68.6
439,60.2,27.0,74.3,82.5
440,67.9,77.2,85.9,81.3
441,94.6,73.4,73.9,23.0
442,66.3,44.8,95.9,51.5
443,71.8,69.9,72.7,88.9
444,60.7,63.5,67.3,28.6
445,60.8,59.3,71.0,41.2
446,48.9,58.5,50.9,70.2
447,71.2,33.8,64.5,40.0
448,74.8,84.1,50.5,57.3
449,67.6,72.1,74.0,40.0
450,65.2,45.7,89.9,55.4
451,98.5,58.9,66.1,24.7
452,43.0,31.5,72.2,65.2
453,46.3,76.1,60.8,57.9
454,94.2,76.1,69.0,37.2
455,37.7,47.1,72.9,35.3
456,68.0,61.4,71.9,42.0
457,72.5,68.0,57.5,83.2
458,68.5,60.3,85.5,59.7
459,84.3,65.2,60.1,62.2
460,52.8,62.0,76.6,50.8
461,68.1,26.1,66.4,56.9
462,72.4,41.5,89.8,37.7
463,84.5,67.7,69.2,90.5
464,52.1,76.5,88.2,41.6
465,90.9,55.5,73.3,60.2
466,68.0,74.6,76.1,20.0
467,89.6,30.1,79.0,77.5
468,53.6,52.6,59.7,50.7
469,65.4,74.0,89.5,82.9
470,61.6,56.2,48.0,38.9
471,84.5,89.1,55.0,43.2
472,69.6,65.0,64.9,63.5
473,62.9,59.7,78.8,55.1
474,63.5,58.0,71.1,47.6
475,66.1,88.8,78.1,49.1
476,80.5,54.0,87.1,62.4
477,68.4,68.1,47.7,32.5
478,52.1,62.6,97.8,99.6
479,79.6,69.0,52.2,44.1
480,58.2,48.8,75.0,45.6
481,40.3,73.5,56.1,59.8
482,100.0,43.5,42.6,49.3
483,86.5,95.3,52.6,64.9
484,63.0,58.1,100.0,24.9
485,73.8,68.4,82.0,57.0
486,74.6,53.0,75.4,48.1
487,79.3,53.3,71.1,54.4
488,86.9,59.1,51.7,80.2
489,56.4,48.2,64.3,82.5
490,38.0,100.0,89.7,59.5
491,69.2,65.1,73.7,67.9
492,78.3,61.6,71.4,52.0
493,67.1,80.4,76.9,20.0
494,79.8,63.5,73.6,47.2
495,86.9,77.1,62.9,63.1
496,55.4,35.2,63.1,72.2
497,84.3,69.2,81.7,65.3
498,60.4,67.8,77.0,70.1
499,87.8,72.7,72.4,76.4
500,69.6,44.1,73.4,40.1
501,59.9,57.4,61.1,48.8
502,41.6,63.8,76.2,38.7
503,79.9,76.9,48.9,39.7
504,58.5,43.1,84.6,51.1
505,66.0,23.9,78.2,30.2
506,70.9,65.0,93.3,28.8
507,30.0,63.3,92.2,79.8
508,73.1,51.2,83.5,35.5
509,77.1,69.1,80.1,100.0
510,75.9,50.8,72.7,20.0
511,59.6,52.6,69.9,58.0
512,57.7,80.2,68.2,54.8
513,65.1,62.8,76.5,37.7
514,60.1,54.5,52.0,38.6
515,62.9,75.7,73.8,58.9
516,82.8,57.5,77.7,52.9
517,74.0,49.5,47.7,52.3
518,91.3,76.7,85.4,79.7
519,71.3,63.6,66.4,48.7
520,79.2,81.7,72.1,46.0
521,70.0,70.8,53.3,20.0
522,61.7,38.0,70.1,52.0
523,63.2,86.1,71.3,61.0
524,79.3,39.5,83.9,53.5
525,80.1,40.7,53.6,71.4
526,75.6,43.8,66.6,77.5
527,52.2,89.6,61.4,67.8
528,65.1,70.9,68.1,51.7
529,70.6,42.0,75.5,44.7
530,66.6,42.1,46.3,51.2
531,100.0,74.1,72.8,49.7
532,70.3,69.8,57.2,77.3
533,80.7,72.9,78.3,55.4
534,80.1,70.7,68.0,43.5
535,71.5,87.9,55.7,25.6
536,72.5,60.9,71.1,59.9
537,66.7,86.8,57.8,38.4
538,68.5,30.4,69.3,88.2
539,70.3,64.2,54.7,42.7
540,64.4,54.3,86.8,66.2
541,53.3,64.4,79.0,77.8
542,93.7,41.7,63.3,29.8
543,66.5,68.4,86.4,53.5
544,65.2,62.7,58.2,96.8
545,45.9,63.3,94.1,55.1
546,67.1,53.6,71.6,82.5
547,36.8,87.6,55.1,49.7
548,63.6,70.6,53.8,64.2
549,100.0,35.5,77.7,41.8
550,76.4,60.3,65.3,64.8
551,97.1,56.6,77.6,29.1
552,55.7,68.5,90.8,62.1
553,65.3,60.0,54.0,67.1
554,83.2,51.9,64.2,60.3
555,63.4,58.8,97.4,50.1
556,64.6,48.3,76.3,51.4
557,60.3,83.8,84.4,43.0
558,42.0,78.1,62.4,70.8
559,40.4,76.1,57.7,69.6
560,70.2,42.8,63.3,68.7
561,71.6,70.5,95.9,23.7
562,94.3,61.9,56.6,28.4
563,67.2,76.6,67.5,85.2
564,48.2,59.8,58.0,62.3
565,83.3,52.4,38.5,59.0
566,76.6,67.3,89.4,33.6
567,80.2,81.5,52.5,61.4
568,62.4,58.5,77.2,45.3
569,59.9,60.6,53.6,33.3
570,80.2,39.3,79.4,64.3
571,44.1,47.8,82.5,35.4
572,63.0,68.3,82.4,50.0
573,61.0,85.6,89.9,74.6
574,71.3,45.5,57.4,65.5
575,76.3,85.2,84.0,24.9
576,85.8,42.0,63.6,60.0
577,99.9,100.0,81.1,51.3
578,78.0,76.0,63.6,90.9
579,73.5,69.0,79.4,63.4
580,82.6,48.9,63.9,33.0
581,76.6,74.0,72.9,88.5
582,69.9,72.0,61.5,47.3
583,80.4,75.3,72.7,53.6
584,47.2,53.6,82.9,66.5
585,77.5,60.9,69.9,41.8
586,80.5,67.6,79.7,44.5
587,37.7,79.7,60.9,37.7
588,80.4,52.9,80.1,67.3
589,80.3,35.4,88.3,60.2
590,64.5,62.6,51.7,63.2
591,54.6,35.7,49.1,77.3
592,60.6,87.6,66.6,20.9
593,53.3,82.2,75.1,44.0
594,72.4,69.0,80.0,84.0
595,64.6,36.1,71.2,60.2
596,55.5,42.8,79.5,54.0
597,70.5,46.3,67.8,36.5
598,83.4,78.6,47.6,36.4
599,47.6,48.3,66.4,26.0
600,56.2,41.9,75.5,56.4
601,59.2,63.2,67.2,49.6
602,95.1,84.1,56.6,71.6
603,82.2,39.3,84.4,85.8
604,53.2,43.5,86.8,60.4
605,78.3,66.1,76.9,28.5
606,85.7,81.1,66.2,54.1
607,47.0,69.3,78.3,53.8
608,86.9,54.0,76.6,34.6
609,69.6,56.9,78.1,47.6
610,68.0,74.9,62.2,22.9
611,96.2,84.9,51.9,68.8
612,62.5,64.7,74.1,50.3
613,58.2,47.6,58.8,38.4
614,69.0,47.1,82.0,84.7
615,61.3,64.3,83.0,64.4
616,71.1,73.4,82.8,30.2
617,83.0,76.0,67.0,55.8
618,80.2,56.2,84.3,100.0
619,58.2,35.1,76.6,69.4
620,66.5,86.2,51.3,68.9
621,60.9,90.9,95.3,39.7
622,61.8,75.5,62.8,54.1
623,70.4,25.4,76.0,41.2
624,62.6,86.0,61.9,71.3
625,65.8,55.0,80.9,61.8
626,78.6,77.4,68.2,42.8
627,53.7,45.1,100.0,79.9
628,49.7,36.2,81.2,65.9
629,78.2,55.4,69.9,61.6
630,71.3,20.1,74.2,38.0
631,72.6,100.0,72.6,48.7
632,83.8,68.7,71.6,67.1
633,100.0,39.6,73.1,36.5
634,78.3,43.5,64.0,49.1
635,84.6,76.5,54.9,56.1
636,59.4,37.3,67.2,48.8
637,100.0,67.8,55.7,43.7
638,85.3,97.6,56.4,20.0
639,98.1,67.0,58.6,65.7
640,30.5,60.1,70.5,73.5
641,54.8,61.5,65.1,60.1
642,56.6,52.7,57.1,68.0
643,82.9,55.8,72.7,26.0
644,65.5,59.1,100.0,32.8
645,92.0,77.9,80.4,90.2
646,75.6,67.0,72.4,79.5
647,86.4,48.7,58.8,50.9
648,58.0,58.9,84.6,45.9
649,69.4,61.0,83.2,20.0
650,60.9,63.8,85.0,45.2
651,41.9,71.2,59.8,31.2
652,60.6,56.7,66.5,20.0
653,83.5,82.9,74.4,32.2
654,67.0,59.9,83.4,68.4
655,59.0,61.5,76.9,84.1
656,80.6,74.2,78.0,83.2
657,76.1,44.5,85.8,69.0
658,63.4,51.4,75.8,64.3
659,73.0,65.6,87.0,76.4
660,72.9,76.9,61.4,63.0
661,97.1,56.1,60.4,42.0
662,53.7,45.9,70.2,26.9
663,70.2,76.2,55.7,85.4
664,77.7,78.6,64.3,72.1
665,53.6,76.0,68.7,66.1
666,52.4,43.9,84.2,36.0
667,76.9,35.4,87.2,30.3
668,78.3,71.3,65.4,66.6
669,73.9,50.3,63.3,20.0
670,75.2,31.8,74.9,49.7
671,80.2,54.6,70.6,69.6
672,75.0,65.7,76.2,24.3
673,81.4,71.0,62.4,50.1
674,69.4,57.6,76.2,83.6
675,86.2,36.4,78.1,81.6
676,75.8,79.6,98.7,75.5
677,73.7,78.8,74.7,55.5
678,64.7,88.1,66.4,85.6
679,77.5,34.8,77.4,20.0
680,79.4,75.9,59.5,57.5
681,99.3,50.9,57.9,84.6
682,99.4,60.1,85.1,81.8
683,58.9,51.3,87.8,88.7
684,78.4,44.2,98.4,44.4
685,65.0,66.2,94.8,72.1
686,76.2,68.3,71.9,66.2
687,32.1,54.7,73.5,32.0
688,75.8,56.3,90.1,86.5
689,63.0,57.3,75.3,46.0
690,72.9,46.4,59.4,67.5
691,79.4,45.5,82.9,42.4
692,73.8,74.8,75.8,64.1
693,62.3,56.5,65.7,40.1
694,67.3,32.1,69.5,49.3
695,66.2,55.7,70.7,64.6
696,83.1,48.3,53.8,34.2
697,62.7,53.7,66.2,29.1
698,63.2,63.3,76.9,43.9
699,63.8,43.3,71.8,38.0
700,78.6,27.9,63.1,61.0
701,72.8,100.0,74.8,34.9
702,68.6,28.0,68.8,38.3
703,83.7,50.1,69.2,42.3
704,96.1,54.2,95.8,71.3
705,77.2,66.6,80.9,20.0
706,65.8,75.2,69.2,26.9
707,69.2,90.7,89.6,53.8
708,84.3,53.4,55.0,36.5
709,93.4,55.1,68.5,49.0
710,98.6,89.3,95.6,51.8
711,74.4,32.7,84.3,31.6
712,73.3,40.2,66.7,38.3
713,60.9,50.3,66.4,71.7
714,53.4,64.0,82.8,44.7
715,59.2,55.9,85.6,58.9
716,62.0,68.7,62.2,68.6
717,76.1,54.5,66.9,37.3
718,78.0,82.1,69.4,64.2
719,38.7,49.5,66.2,36.8
720,56.0,48.0,73.3,51.3
721,36.4,21.8,68.1,64.2
722,30.0,51.0,70.7,82.8
723,64.2,66.9,69.1,20.0
724,81.5,63.9,80.7,100.0
725,38.7,91.0,63.2,60.7
726,69.3,52.4,61.4,61.6
727,47.2,73.5,72.0,32.4
728,63.2,82.6,61.8,62.2
729,59.0,73.6,78.0,92.0
730,67.4,72.0,71.8,80.9
731,59.2,73.4,71.5,53.7
732,71.4,64.5,68.4,59.3
733,93.7,77.7,80.2,45.9
734,56.7,77.2,81.1,84.5
735,60.9,55.9,54.9,47.2
736,84.9,51.6,79.9,51.2
737,74.9,39.3,72.4,20.0
738,67.2,30.7,91.5,70.5
739,77.0,87.4,64.0,89.9
740,84.0,55.7,85.8,32.9
741,57.6,49.0,69.9,33.9
742,88.3,55.3,81.2,43.6
743,42.7,64.9,47.7,53.6
744,49.5,95.8,82.3,57.1
745,89.0,44.8,76.3,59.0
746,74.0,82.9,80.2,60.8
747,45.2,42.7,72.3,56.9
748,53.0,100.0,89.6,67.0
749,71.1,56.2,59.2,56.5
750,73.9,37.6,74.6,51.9
751,41.4,44.5,70.4,92.8
752,78.3,36.0,80.4,24.1
753,86.2,51.5,72.7,81.5
754,50.7,34.9,66.0,75.8
755,47.2,20.0,71.6,66.0
756,88.0,51.7,68.1,78.1
757,42.0,53.0,77.7,64.0
758,62.4,60.6,44.7,41.8
759,76.8,42.3,69.7,63.9
760,64.9,63.1,61.4,50.9
761,79.2,62.8,70.0,59.5
762,80.7,23.1,86.9,48.3
763,76.4,81.6,54.1,40.8
764,65.7,45.9,89.8,37.9
765,61.7,63.7,53.0,47.1
766,74.8,54.0,75.9,44.4
767,47.3,65.8,87.7,55.4
768,73.4,72.5,55.4,89.1
769,73.0,89.4,61.0,91.4
770,81.6,70.0,79.8,50.0
771,88.0,62.5,47.0,32.7
772,67.2,65.6,66.7,79.4
773,40.7,62.6,48.0,70.2
774,68.6,67.6,58.6,80.6
