matching_id,request_id,patient_id,caregiver_id,personality_score,specialty_score,region_score,total_score,grade,status,ai_comment,contract_start_date,contract_end_date,created_at
21,4,4,656,74.5,66.7,75.0,69.6,B,active,일부 조건에서 조율이 필요할 수 있습니다.,2024-11-27,,2025-05-08
22,4,4,705,86.4,33.3,50.0,59.9,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-04-06
23,4,4,571,86.4,33.3,75.0,58.8,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-07-23
24,4,4,225,86.0,33.3,50.0,58.4,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-07-15
25,5,5,439,80.9,25.0,75.0,57.0,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-10-01
26,5,5,920,78.8,25.0,75.0,52.9,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2025-08-08,2025-12-24,2025-10-25
27,5,5,598,80.6,25.0,75.0,61.9,B,recommended,적응 기간이 다소 필요할 수 있습니다.,,,2025-07-21
28,5,5,409,82.6,50.0,75.0,72.4,B+,active,전반적으로 좋은 매칭입니다.,2025-10-23,,2024-11-22
29,5,5,371,75.2,50.0,50.0,55.0,C,selected,일부 조건 불일치가 있어 확인이 필요합니다.,,,2024-11-07
30,5,5,225,76.8,50.0,50.0,57.1,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-06-05
31,5,5,142,84.5,50.0,75.0,64.4,B,active,기본적인 케어 역량을 갖추고 있습니다.,2025-03-20,,2025-04-08
32,5,5,522,85.7,75.0,75.0,73.8,B+,recommended,전반적으로 좋은 매칭입니다.,,,2024-11-23
33,6,6,996,75.5,0.0,75.0,41.2,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-06-27
34,6,6,513,86.8,0.0,75.0,52.6,C,cancelled,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-01-19
35,6,6,781,85.4,25.0,50.0,49.4,C,cancelled,다른 후보도 함께 검토해 보시기 바랍니다.,,,2024-11-01
36,6,6,183,90.5,0.0,75.0,47.0,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2025-01-30,2025-03-01,2025-06-14
37,6,6,520,86.4,50.0,75.0,73.3,B+,recommended,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,,,2025-07-27
38,6,6,935,88.8,25.0,75.0,55.4,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-10-17
39,7,7,750,85.9,50.0,50.0,67.4,B,completed,기본적인 케어 역량을 갖추고 있습니다.,2025-01-29,2025-04-01,2024-12-24
40,7,7,498,86.7,0.0,75.0,45.7,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-01-20
41,7,7,836,80.3,25.0,75.0,56.1,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-02-23
42,7,7,71,74.0,50.0,75.0,67.2,B,selected,적응 기간이 다소 필요할 수 있습니다.,,,2025-08-16
43,8,8,409,86.7,50.0,75.0,69.3,B,recommended,기본적인 케어 역량을 갖추고 있습니다.,,,2025-07-23
44,8,8,688,75.6,50.0,75.0,62.5,B,completed,적응 기간이 다소 필요할 수 있습니다.,2025-05-08,2025-06-12,2025-02-16
45,8,8,666,80.9,25.0,100.0,58.4,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-01-07
46,8,8,383,81.9,25.0,75.0,53.0,C,active,추가 교육이나 지원이 필요할 수 있습니다.,2025-09-24,,2025-06-10
47,8,8,449,90.3,25.0,50.0,49.8,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-07-07
48,8,8,922,74.6,75.0,75.0,76.5,B+,completed,주요 질환에 대한 케어 경험이 있습니다.,2025-07-11,2025-12-26,2024-11-21
49,9,9,485,84.5,25.0,75.0,59.9,C,selected,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-04-24
50,9,9,249,87.5,50.0,75.0,68.5,B,recommended,적응 기간이 다소 필요할 수 있습니다.,,,2025-10-30
51,9,9,804,68.8,0.0,75.0,44.6,C,cancelled,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-10-07
52,9,9,827,79.6,50.0,75.0,62.2,B,completed,기본적인 케어 역량을 갖추고 있습니다.,2025-05-08,2025-07-04,2025-08-20
53,9,9,417,77.2,50.0,75.0,62.2,B,completed,일부 조건에서 조율이 필요할 수 있습니다.,2025-07-27,2025-11-05,2025-07-22
54,9,9,195,89.8,25.0,75.0,59.6,C,completed,추가 교육이나 지원이 필요할 수 있습니다.,2025-01-20,2025-03-16,2024-12-28
55,9,9,97,85.2,75.0,75.0,83.3,A,completed,성격 궁합이 좋아 원활한 소통이 기대됩니다.,2025-06-29,2025-09-09,2025-03-23
56,9,9,100,85.1,25.0,75.0,62.6,B,completed,기본적인 케어 역량을 갖추고 있습니다.,2025-08-05,2025-12-10,2025-05-11
57,10,10,434,89.0,0.0,75.0,51.5,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-09-08
58,10,10,714,77.7,0.0,100.0,49.1,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-10-28
59,10,10,981,82.8,0.0,75.0,48.5,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-10-26
60,10,10,749,85.2,50.0,75.0,71.1,B+,recommended,주요 질환에 대한 케어 경험이 있습니다.,,,2025-11-01
61,10,10,803,76.1,50.0,75.0,66.2,B,selected,적응 기간이 다소 필요할 수 있습니다.,,,2025-02-28
62,10,10,570,79.6,75.0,75.0,73.2,B+,recommended,전반적으로 좋은 매칭입니다.,,,2025-10-16
63,11,11,71,75.1,50.0,75.0,62.4,B,completed,기본적인 케어 역량을 갖추고 있습니다.,2025-08-28,2026-02-19,2025-02-03
64,11,11,610,80.2,25.0,50.0,46.4,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-02-01
65,11,11,70,90.1,25.0,75.0,60.9,B,recommended,일부 조건에서 조율이 필요할 수 있습니다.,,,2025-07-16
66,11,11,692,85.8,50.0,75.0,65.8,B,active,기본적인 케어 역량을 갖추고 있습니다.,2025-05-21,,2025-07-14
67,11,11,883,80.8,50.0,75.0,66.0,B,recommended,적응 기간이 다소 필요할 수 있습니다.,,,2024-12-31
68,12,12,469,63.8,25.0,50.0,39.9,C,completed,추가 교육이나 지원이 필요할 수 있습니다.,2024-12-14,2025-06-06,2025-10-20
69,12,12,324,72.4,50.0,75.0,61.7,B,recommended,일부 조건에서 조율이 필요할 수 있습니다.,,,2025-10-22
70,12,12,952,83.8,25.0,50.0,55.6,C,cancelled,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-07-04
71,12,12,770,69.2,25.0,75.0,49.6,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2025-01-23,2025-05-10,2024-12-27
72,12,12,959,80.2,0.0,75.0,50.0,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2024-12-22
73,12,12,75,65.1,25.0,75.0,47.6,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-07-14
74,13,13,912,94.4,25.0,75.0,58.3,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2025-06-06,2025-08-28,2025-06-04
75,13,13,110,80.7,0.0,75.0,50.5,C,completed,다른 후보도 함께 검토해 보시기 바랍니다.,2025-02-12,2025-07-17,2025-10-31
76,13,13,761,83.3,25.0,75.0,61.2,B,completed,일부 조건에서 조율이 필요할 수 있습니다.,2025-10-06,2025-11-05,2024-10-28
77,13,13,567,75.5,75.0,75.0,71.8,B+,completed,전반적으로 좋은 매칭입니다.,2025-03-16,2025-09-03,2025-04-22
78,14,14,968,73.5,25.0,75.0,51.0,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-05-21
79,14,14,905,78.3,25.0,75.0,57.0,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-04-20
80,14,14,708,68.8,50.0,50.0,52.8,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-05-24
81,14,14,926,63.3,50.0,75.0,64.9,B,completed,기본적인 케어 역량을 갖추고 있습니다.,2025-10-08,2026-02-06,2024-12-12
82,15,15,799,83.0,25.0,75.0,59.0,C,active,추가 교육이나 지원이 필요할 수 있습니다.,2025-08-10,,2025-09-04
83,15,15,574,85.4,50.0,75.0,73.4,B+,recommended,주요 질환에 대한 케어 경험이 있습니다.,,,2025-04-29
84,15,15,906,73.1,25.0,75.0,49.6,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-06-09
85,15,15,896,74.9,0.0,75.0,47.8,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2024-12-19
86,15,15,417,82.3,50.0,75.0,71.2,B+,recommended,주요 질환에 대한 케어 경험이 있습니다.,,,2025-07-13
87,15,15,998,77.7,0.0,75.0,42.5,C,completed,추가 교육이나 지원이 필요할 수 있습니다.,2025-09-03,2026-01-08,2025-03-31
88,16,16,313,70.1,25.0,75.0,48.5,C,active,다른 후보도 함께 검토해 보시기 바랍니다.,2025-07-22,,2025-06-11
89,16,16,841,79.8,25.0,75.0,54.5,C,completed,다른 후보도 함께 검토해 보시기 바랍니다.,2025-09-23,2026-01-02,2025-01-02
90,16,16,815,61.0,25.0,75.0,54.9,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-06-10
91,16,16,893,79.5,50.0,75.0,71.0,B+,recommended,주요 질환에 대한 케어 경험이 있습니다.,,,2025-07-16
92,16,16,234,63.7,50.0,75.0,57.8,C,completed,추가 교육이나 지원이 필요할 수 있습니다.,2025-06-15,2025-07-24,2025-01-25
93,16,16,229,85.4,25.0,75.0,61.5,B,completed,기본적인 케어 역량을 갖추고 있습니다.,2025-03-19,2025-08-26,2025-05-13
94,17,17,46,82.1,0.0,20.0,36.8,C,selected,일부 조건 불일치가 있어 확인이 필요합니다.,,,2024-11-23
95,17,17,726,81.1,25.0,20.0,47.8,C,completed,다른 후보도 함께 검토해 보시기 바랍니다.,2025-07-20,2025-11-20,2025-10-22
96,17,17,447,90.6,50.0,20.0,57.9,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-09-24
97,17,17,2,71.9,50.0,20.0,52.4,C,selected,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-03-12
98,17,17,533,78.1,50.0,20.0,50.4,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-06-12
99,17,17,948,76.0,25.0,20.0,40.6,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-02-16
100,18,18,197,81.7,25.0,75.0,59.1,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-01-15
101,18,18,431,88.5,25.0,75.0,60.4,B,recommended,일부 조건에서 조율이 필요할 수 있습니다.,,,2025-02-19
102,18,18,681,83.2,25.0,75.0,61.2,B,completed,기본적인 케어 역량을 갖추고 있습니다.,2025-05-26,2025-09-06,2025-04-20
103,18,18,963,92.9,50.0,100.0,79.1,B+,selected,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,,,2025-04-14
104,18,18,389,83.9,50.0,75.0,67.5,B,active,적응 기간이 다소 필요할 수 있습니다.,2025-07-11,,2025-03-29
105,19,19,675,66.8,75.0,50.0,67.2,B,completed,기본적인 케어 역량을 갖추고 있습니다.,2025-05-10,2025-07-02,2024-12-17
106,19,19,87,83.3,25.0,75.0,54.4,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-07-24
107,19,19,291,82.9,0.0,20.0,38.9,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2024-10-29
108,19,19,528,82.2,50.0,75.0,63.2,B,completed,기본적인 케어 역량을 갖추고 있습니다.,2025-03-30,2025-09-23,2024-11-24
109,19,19,680,73.2,0.0,75.0,43.4,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2024-12-26
110,20,20,915,84.1,75.0,50.0,75.8,B+,recommended,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,,,2025-08-06
111,20,20,769,71.1,0.0,50.0,34.2,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-03-06
112,20,20,882,79.8,25.0,75.0,56.3,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-07-22
113,20,20,789,67.9,25.0,50.0,50.4,C,cancelled,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-04-07
114,21,21,821,83.6,25.0,75.0,59.0,C,completed,다른 후보도 함께 검토해 보시기 바랍니다.,2025-03-16,2025-08-22,2025-02-19
115,21,21,476,89.7,25.0,50.0,56.3,C,active,다른 후보도 함께 검토해 보시기 바랍니다.,2025-02-27,,2025-07-17
116,21,21,684,81.8,25.0,75.0,59.9,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2024-12-06,2025-03-16,2025-03-23
117,21,21,544,84.7,0.0,50.0,41.5,C,completed,다른 후보도 함께 검토해 보시기 바랍니다.,2025-06-04,2025-09-02,2025-06-08
118,21,21,573,81.8,25.0,75.0,53.2,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-07-31
119,22,22,711,81.6,0.0,75.0,45.6,C,completed,추가 교육이나 지원이 필요할 수 있습니다.,2025-03-04,2025-07-18,2025-08-13
120,22,22,157,87.4,50.0,20.0,59.7,C,selected,일부 조건 불일치가 있어 확인이 필요합니다.,,,2024-12-05
121,22,22,724,78.9,25.0,75.0,51.6,C,completed,다른 후보도 함께 검토해 보시기 바랍니다.,2025-01-07,2025-05-14,2025-11-23
122,22,22,220,90.9,25.0,75.0,63.1,B,completed,적응 기간이 다소 필요할 수 있습니다.,2025-03-28,2025-09-11,2024-11-15
123,22,22,66,82.6,50.0,75.0,71.6,B+,recommended,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,,,2025-08-06
124,22,22,425,91.6,50.0,75.0,68.5,B,recommended,일부 조건에서 조율이 필요할 수 있습니다.,,,2025-11-12
125,22,22,418,88.5,0.0,75.0,48.6,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2024-12-14
126,23,23,742,78.5,75.0,50.0,70.3,B+,selected,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,,,2025-01-27
127,23,23,170,77.4,25.0,50.0,50.2,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2025-10-15,2025-12-05,2025-04-21
128,23,23,861,76.3,75.0,75.0,72.3,B+,completed,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,2025-06-17,2025-10-22,2025-08-10
129,23,23,479,85.6,50.0,50.0,65.1,B,recommended,일부 조건에서 조율이 필요할 수 있습니다.,,,2025-07-07
130,23,23,942,82.6,25.0,50.0,53.9,C,selected,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-07-20
131,23,23,131,91.2,25.0,75.0,64.0,B,selected,일부 조건에서 조율이 필요할 수 있습니다.,,,2025-11-17
132,23,23,638,77.4,75.0,50.0,72.1,B+,recommended,주요 질환에 대한 케어 경험이 있습니다.,,,2025-05-31
133,24,24,666,77.3,75.0,75.0,71.2,B+,recommended,주요 질환에 대한 케어 경험이 있습니다.,,,2025-07-23
134,24,24,71,76.1,25.0,75.0,52.4,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-01-12
135,24,24,800,78.0,25.0,75.0,52.6,C,cancelled,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-03-29
136,24,24,981,81.5,50.0,75.0,69.0,B,recommended,적응 기간이 다소 필요할 수 있습니다.,,,2025-08-07
137,24,24,668,76.2,0.0,20.0,31.3,C,selected,다른 후보도 함께 검토해 보시기 바랍니다.,,,2024-10-30
138,25,25,172,85.8,0.0,75.0,44.9,C,completed,추가 교육이나 지원이 필요할 수 있습니다.,2025-08-06,2025-11-23,2025-02-03
139,25,25,621,80.2,33.3,75.0,60.9,B,selected,일부 조건에서 조율이 필요할 수 있습니다.,,,2025-05-07
140,25,25,622,88.1,0.0,75.0,54.0,C,cancelled,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-10-19
141,25,25,987,83.6,33.3,75.0,62.3,B,cancelled,적응 기간이 다소 필요할 수 있습니다.,,,2025-07-25
142,25,25,766,86.1,33.3,75.0,58.2,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2024-12-11
143,25,25,736,81.0,33.3,75.0,61.4,B,selected,기본적인 케어 역량을 갖추고 있습니다.,,,2025-02-10
144,26,26,356,82.3,50.0,75.0,66.3,B,recommended,적응 기간이 다소 필요할 수 있습니다.,,,2024-12-30
145,26,26,546,83.2,75.0,75.0,76.3,B+,selected,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,,,2025-03-21
146,26,26,439,75.0,25.0,75.0,51.0,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-01-05
147,26,26,678,81.6,50.0,75.0,71.2,B+,active,전반적으로 좋은 매칭입니다.,2025-03-07,,2025-09-09
148,27,27,181,80.5,25.0,50.0,53.8,C,selected,일부 조건 불일치가 있어 확인이 필요합니다.,,,2024-10-26
149,27,27,752,74.3,50.0,75.0,64.6,B,recommended,일부 조건에서 조율이 필요할 수 있습니다.,,,2024-11-17
150,27,27,535,85.0,25.0,50.0,53.2,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-07-24
151,27,27,989,81.1,50.0,75.0,70.5,B+,completed,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,2025-09-14,2025-12-24,2025-07-25
152,27,27,667,73.8,25.0,75.0,55.7,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-06-07
153,27,27,277,75.0,25.0,50.0,44.1,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-08-25
154,27,27,631,95.0,25.0,75.0,61.9,B,selected,일부 조건에서 조율이 필요할 수 있습니다.,,,2025-07-17
155,28,28,287,92.1,50.0,50.0,59.8,C,cancelled,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-10-14
156,28,28,902,82.6,75.0,75.0,75.1,B+,recommended,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,,,2025-03-21
157,28,28,611,69.8,50.0,75.0,63.7,B,completed,적응 기간이 다소 필요할 수 있습니다.,2025-06-27,2025-11-25,2024-11-27
158,28,28,719,83.1,25.0,75.0,53.8,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2025-07-07,2025-11-17,2025-07-25
159,28,28,283,80.3,50.0,75.0,65.5,B,recommended,적응 기간이 다소 필요할 수 있습니다.,,,2025-02-28
160,28,28,570,80.8,25.0,75.0,55.5,C,completed,다른 후보도 함께 검토해 보시기 바랍니다.,2025-01-20,2025-05-14,2024-12-02
161,29,29,237,76.0,50.0,75.0,67.8,B,selected,적응 기간이 다소 필요할 수 있습니다.,,,2025-08-24
162,29,29,124,71.9,25.0,50.0,44.6,C,active,다른 후보도 함께 검토해 보시기 바랍니다.,2025-02-23,,2024-11-21
163,29,29,739,74.1,50.0,75.0,65.6,B,completed,기본적인 케어 역량을 갖추고 있습니다.,2025-02-02,2025-05-15,2025-08-19
164,29,29,198,76.4,0.0,75.0,42.3,C,selected,추가 교육이나 지원이 필요할 수 있습니다.,,,2024-11-29
165,29,29,324,82.6,50.0,75.0,68.0,B,recommended,일부 조건에서 조율이 필요할 수 있습니다.,,,2025-11-03
166,29,29,123,68.4,25.0,75.0,57.4,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2025-01-18,2025-05-02,2025-09-23
167,30,30,894,81.2,0.0,75.0,46.9,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-06-05
168,30,30,13,77.9,25.0,75.0,52.8,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-07-20
169,30,30,588,86.4,0.0,75.0,53.4,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-09-29
170,30,30,292,88.6,25.0,75.0,63.0,B,active,일부 조건에서 조율이 필요할 수 있습니다.,2025-04-06,,2025-10-20
171,31,31,645,70.5,75.0,75.0,71.5,B+,completed,전반적으로 좋은 매칭입니다.,2025-06-23,2025-08-22,2024-10-31
172,31,31,703,84.8,50.0,75.0,71.3,B+,recommended,주요 질환에 대한 케어 경험이 있습니다.,,,2024-10-25
173,31,31,55,93.5,25.0,75.0,61.7,B,active,일부 조건에서 조율이 필요할 수 있습니다.,2025-03-12,,2025-06-27
174,31,31,156,79.9,25.0,75.0,60.3,B,recommended,일부 조건에서 조율이 필요할 수 있습니다.,,,2025-06-23
175,31,31,153,85.6,25.0,75.0,59.4,C,active,일부 조건 불일치가 있어 확인이 필요합니다.,2025-09-28,,2024-11-13
176,31,31,831,89.4,0.0,75.0,46.0,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-01-10
177,31,31,577,68.2,50.0,75.0,59.7,C,active,추가 교육이나 지원이 필요할 수 있습니다.,2025-09-17,,2025-07-27
178,31,31,972,81.9,25.0,75.0,54.1,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-09-07
179,32,32,419,76.9,25.0,75.0,55.4,C,cancelled,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-07-31
180,32,32,462,76.4,25.0,75.0,53.4,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2024-12-02
181,32,32,706,83.2,50.0,75.0,71.5,B+,recommended,주요 질환에 대한 케어 경험이 있습니다.,,,2024-12-10
182,32,32,609,84.1,75.0,75.0,75.5,B+,recommended,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,,,2025-01-10
183,33,33,678,76.5,25.0,75.0,57.0,C,cancelled,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-09-15
184,33,33,824,90.9,50.0,75.0,66.3,B,completed,적응 기간이 다소 필요할 수 있습니다.,2025-08-05,2025-11-21,2024-11-08
185,33,33,957,82.2,50.0,75.0,66.9,B,recommended,일부 조건에서 조율이 필요할 수 있습니다.,,,2024-12-09
186,33,33,203,83.0,25.0,75.0,55.9,C,active,다른 후보도 함께 검토해 보시기 바랍니다.,2025-04-05,,2025-03-15
187,33,33,436,83.2,0.0,75.0,48.3,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2025-03-18,2025-05-07,2025-11-06
188,33,33,118,85.6,0.0,75.0,46.9,C,selected,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-11-13
189,33,33,558,75.9,25.0,75.0,51.2,C,selected,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-02-05
190,33,33,231,82.8,50.0,50.0,62.3,B,recommended,기본적인 케어 역량을 갖추고 있습니다.,,,2024-10-31
191,34,34,591,69.2,33.3,75.0,56.5,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-07-07
192,34,34,42,78.5,33.3,75.0,56.4,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2025-01-02,2025-05-23,2025-03-20
193,34,34,782,80.2,33.3,75.0,58.6,C,cancelled,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-06-15
194,34,34,775,86.8,0.0,75.0,50.8,C,active,다른 후보도 함께 검토해 보시기 바랍니다.,2025-08-07,,2025-04-30
195,34,34,180,85.6,33.3,75.0,64.0,B,recommended,일부 조건에서 조율이 필요할 수 있습니다.,,,2024-12-22
196,34,34,482,83.7,66.7,75.0,79.2,B+,selected,전반적으로 좋은 매칭입니다.,,,2025-11-08
197,35,35,91,82.4,25.0,75.0,56.6,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2025-02-07,2025-03-09,2025-02-22
198,35,35,323,77.8,25.0,75.0,52.9,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2025-04-26,2025-09-30,2025-04-14
199,35,35,259,80.1,50.0,100.0,70.7,B+,completed,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,2025-08-22,2025-12-03,2024-12-04
200,35,35,332,88.7,25.0,75.0,64.5,B,completed,적응 기간이 다소 필요할 수 있습니다.,2024-12-21,2025-03-22,2025-09-06
201,35,35,119,79.0,50.0,100.0,73.2,B+,completed,주요 질환에 대한 케어 경험이 있습니다.,2025-09-11,2025-12-07,2025-04-04
202,35,35,994,86.6,50.0,75.0,72.4,B+,recommended,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,,,2024-11-25
203,35,35,792,89.9,25.0,75.0,58.1,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-07-10
204,36,36,855,86.2,25.0,50.0,51.5,C,completed,일부 조건 불일치가 있어 확인이 필요합니다.,2024-12-26,2025-06-04,2025-09-18
205,36,36,495,80.8,25.0,50.0,53.5,C,selected,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-06-05
206,36,36,484,88.5,25.0,50.0,57.8,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-07-13
207,36,36,250,77.5,0.0,50.0,42.8,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2024-11-20
